node,y,x,street_count,highway,ref,geometry,eigenvector_w_bridge,closeness_w_bridge,betweenness_w_bridge,straightness_w_bridge,eigenvector_wo_bridge,closeness_wo_bridge,betweenness_wo_bridge,straightness_wo_bridge
1063422080,38.9809962,-76.3179966,1,turning_circle,,POINT (1506204.5413399385 479383.77054694353),8.291806232252882e-18,3.9322403730314677e-05,0.0,0.7841979180427309,3.802752898967252e-18,3.9322403730314677e-05,0.0,0.7841979180427309
1063422139,38.9830302,-76.3187618,5,traffic_signals,,POINT (1505981.496718983 480122.91761773895),9.503729878285165e-17,3.9349788016823336e-05,0.012932887597169635,0.7997415801372403,7.841486945285093e-17,3.9349788016823336e-05,0.012932887597169635,0.7997415801372403
1063422157,38.9792312,-76.3205082,3,,,POINT (1505495.375934787 478735.6436730517),1.0627847091650727e-17,3.9514657451751096e-05,0.09951524961033653,0.8005089608392867,8.018363875960637e-17,3.9514657451751096e-05,0.09951524961033653,0.8005089608392867
1063422170,38.9807461,-76.3208928,3,,,POINT (1505381.9420450581 479286.54793675605),7.833661492607347e-17,3.890313144430199e-05,0.012693138885993374,0.7817711187785998,1.2707471920696683e-16,3.890313144430199e-05,0.012693138885993374,0.7817711187785998
1063422214,38.9797274,-76.3222248,3,,,POINT (1505006.0594927904 478912.7292141181),9.644413624789479e-17,3.690704911478211e-05,0.00039889720517515773,0.7061822401618777,6.829833306433741e-17,3.690704911478211e-05,0.00039889720517515773,0.7061822401618777
1063422258,38.9823682,-76.3198186,3,,,POINT (1505682.894618717 479879.58091996826),5.595939081973633e-17,3.907494011048965e-05,0.007698551904652077,0.7783801477957385,4.8068740407602466e-17,3.907494011048965e-05,0.007698551904652077,0.7783801477957385
1063422272,38.9807982,-76.3210873,3,,,POINT (1505326.5119510333 479305.1112095303),3.8864180266535624e-17,3.939460891110205e-05,0.007698551904652077,0.7950631057343802,2.5525491772786938e-17,3.939460891110205e-05,0.007698551904652077,0.7950631057343802
1063422276,38.9795648,-76.321557,4,traffic_signals,,POINT (1505196.3325568654 478854.92137333273),1.0714320930882087e-16,3.961726406906834e-05,0.10728438826322947,0.8061912542164013,7.389389339404663e-17,3.961726406906834e-05,0.10728438826322947,0.8061912542164013
1063422309,38.9789257,-76.3234546,3,,,POINT (1504658.632788648 478618.16145258985),6.131913547690501e-17,3.960021112485818e-05,0.0004914807540306264,0.8143160770026702,8.270818615758804e-17,3.960021112485818e-05,0.0004914807540306264,0.8143160770026702
1063422333,38.9776827,-76.3222925,3,,,POINT (1504992.3430200415 478167.9185238045),1.0628125471710454e-16,3.9481458315114454e-05,0.09312058268539897,0.8021059594687024,1.6951424651989385e-17,3.9481458315114454e-05,0.09312058268539897,0.8021059594687024
1063422408,38.9785087,-76.321974,4,traffic_signals,,POINT (1505080.6500565195 478469.41518915165),9.103454468616883e-17,3.980980611082182e-05,0.10724400607702655,0.8174042865523756,2.7234057193095104e-17,3.980980611082182e-05,0.10724400607702655,0.8174042865523756
1063422417,38.9766624,-76.3226886,4,traffic_signals,,POINT (1504882.4989662587 477795.4956235771),1.075770402951401e-16,3.9666787224763095e-05,0.09538986456372875,0.8137326768626763,7.420963626706543e-17,3.9666787224763095e-05,0.09538986456372875,0.8137326768626763
1063422758,38.9847491,-76.3147829,1,turning_circle,,POINT (1507107.8115683175 480757.39618983166),8.668280671308589e-18,3.891068520954048e-05,0.0,0.7583547415062151,2.194690961189874e-18,3.891068520954048e-05,0.0,0.7583547415062151
1063435937,38.9825892,-76.3183152,3,,,POINT (1506109.6434278474 479963.25557503523),1.1829168038327052e-16,3.941335750956404e-05,0.018478707835703597,0.7975764410168192,1.1402518943660225e-16,3.941335750956404e-05,0.018478707835703597,0.7975764410168192
1063435946,38.9833468,-76.317865,3,,,POINT (1506235.5531430962 480240.1251554682),9.437132283270992e-17,3.8576145092009016e-05,0.005893747245270072,0.7619371147332057,1.0276547361089762e-16,3.8576145092009016e-05,0.005893747245270072,0.7619371147332057
