node,y,x,street_count,highway,ref,geometry,betweenness_w_bridge,betweenness_wo_bridge,closeness_w_bridge,closeness_wo_bridge,eigenvector_w_bridge,eigenvector_wo_bridge,straightness_w_bridge,straightness_wo_bridge
182805018,39.0927281,-75.8687736,4,,,POINT (1633394.0185833706 521342.58720647986),0.00858548260406,0.00858548260406,3.2351763337525346e-05,3.2351763337525346e-05,5.011397796147288e-05,5.011397796147288e-05,0.8505381157927161,0.8505381157927161
182805034,39.021671,-76.0666058,3,,,POINT (1577512.8589721078 494829.2726949153),0.0019941577154188,0.0019941577154188,4.847330735352925e-05,4.847330735352925e-05,1.6270379956497628e-18,1.6270379956497628e-18,0.7784682219597115,0.7784682219597115
182805113,38.9527348,-76.3044834,3,,,POINT (1510124.2347753101 469120.1554507746),6.566209138685724e-07,6.566209138685724e-07,3.753576339730735e-05,3.753576339730735e-05,5.0201454663028865e-19,5.0201454663028865e-19,0.700640731837965,0.700640731837965
182805138,38.9640885,-76.2104146,3,,,POINT (1536839.0305041678 473472.64551195217),0.0209151818142271,0.0209151818142271,4.9060299584593984e-05,4.9060299584593984e-05,-3.870637272257051e-18,-3.870637272257051e-18,0.788879110178569,0.788879110178569
182805178,39.0143417,-76.0806339,3,motorway_junction,,POINT (1573554.4699840182 492119.58111540065),0.091856259115745,0.091856259115745,5.1461398840756944e-05,5.1461398840756944e-05,1.356313970679178e-18,1.356313970679178e-18,0.7903322029537263,0.7903322029537263
182805179,39.0155132,-76.0764327,4,traffic_signals,,POINT (1574743.804510251 492558.2768290988),0.0382834616069647,0.0382834616069647,5.1506021784842327e-05,5.1506021784842327e-05,-6.328179425326546e-17,-6.328179425326546e-17,0.835666042486856,0.835666042486856
182805187,39.0146246,-76.0768665,3,motorway_junction,,POINT (1574623.827288798 492233.41239915584),0.0762074232635865,0.0762074232635865,5.061095447534157e-05,5.061095447534157e-05,2.2123560804871373e-19,2.2123560804871373e-19,0.8034949591101272,0.8034949591101272
182805188,39.0145352,-76.0763039,3,,,POINT (1574784.0028002504 492202.47091622854),0.0378290799345677,0.0378290799345677,5.154247908164455e-05,5.154247908164455e-05,-7.398571751386224e-17,-7.398571751386224e-17,0.8330835104709404,0.8330835104709404
182805251,39.2425424,-75.9787372,1,,,POINT (1601575.5491224334 575536.6338995936),0.0,0.0,2.7436328395943708e-05,2.7436328395943708e-05,4.8712407355702073e-17,4.8712407355702073e-17,0.7884734947038025,0.7884734947038025
182805293,39.1563419,-76.0490166,1,,,POINT (1581998.8534004646 543927.0953810237),0.0,0.0,3.397879730258714e-05,3.397879730258714e-05,5.6741109430070804e-18,5.6741109430070804e-18,0.7073418194845313,0.7073418194845313
182805300,38.9456544,-76.2815312,3,,,POINT (1516671.5199125013 466592.088765141),0.0068549581855594,0.0068549581855594,3.798362964897542e-05,3.798362964897542e-05,7.161231630664299e-19,7.161231630664299e-19,0.6932282008369461,0.6932282008369461
182805361,38.9827257,-76.1854198,1,turning_circle,,POINT (1543885.1211162081 480322.55684443447),0.0,0.0,4.593361646685403e-05,4.593361646685403e-05,-9.73567258198149e-19,-9.73567258198149e-19,0.6924546210422571,0.6924546210422571
182805449,39.0404271,-76.0717488,3,,,POINT (1575982.3144782523 501645.1470668322),0.1348282402805741,0.1348282402805741,5.038348590816559e-05,5.038348590816559e-05,-1.8639865032043205e-17,-1.8639865032043205e-17,0.7938156351869691,0.7938156351869691
