home,work,flow,home_node,work_node
24003702100,24003730902,10.0,3106126336.0,102624675.0
24003702100,24003731003,15.0,3106126336.0,102604851.0
24003702100,24003731103,15.0,3106126336.0,671848362.0
24003702100,24003731303,40.0,3106126336.0,102573086.0
24003702100,24003731306,15.0,3106126336.0,1062886189.0
24003702100,24003731311,15.0,3106126336.0,102616163.0
24003702100,24003740102,60.0,3106126336.0,102570587.0
24003702100,24003740201,25.0,3106126336.0,335802021.0
24003702100,24003740304,95.0,3106126336.0,4717768057.0
24003702100,24003740601,40.0,3106126336.0,11449905096.0
24003702100,24003740602,15.0,3106126336.0,994213016.0
24003702100,24003740603,115.0,3106126336.0,102587365.0
24003702100,24003740800,20.0,3106126336.0,3412132820.0
24003702100,24003741000,70.0,3106126336.0,102597505.0
24003702100,24003750202,20.0,3106126336.0,605215092.0
24003702100,24003750801,25.0,3106126336.0,102629671.0
24003702100,24003750900,70.0,3106126336.0,102611438.0
24003702100,24003751200,180.0,3106126336.0,33154781.0
24003702100,24003751400,35.0,3106126336.0,102659137.0
24003702100,24003751700,15.0,3106126336.0,3165813725.0
24003702100,24003980000,15.0,3106126336.0,7386174054.0
24003702100,24005400400,10.0,3106126336.0,37403564.0
24003702100,24005401102,35.0,3106126336.0,2829421925.0
24003702100,24005402603,15.0,3106126336.0,37680261.0
24003702100,24005408400,15.0,3106126336.0,37285916.0
24003702100,24005430400,15.0,3106126336.0,37358646.0
24003702100,24005430900,15.0,3106126336.0,37814960.0
24003702100,24005490703,20.0,3106126336.0,37747885.0
24003702100,24027601203,15.0,3106126336.0,37184200.0
24003702100,24027602302,10.0,3106126336.0,769238479.0
24003702100,24027605102,30.0,3106126336.0,37186575.0
24003702100,24027605104,10.0,3106126336.0,4783562110.0
24003702100,24027605505,20.0,3106126336.0,37203977.0
24003702100,24027606707,15.0,3106126336.0,37186145.0
24003702100,24027606901,15.0,3106126336.0,847712940.0
24003702100,24027606904,20.0,3106126336.0,37202666.0
24003702100,24027606905,50.0,3106126336.0,37187250.0
24003702100,24027606907,35.0,3106126336.0,37170474.0
24003702100,24510040200,20.0,3106126336.0,49478028.0
24003702100,24510180300,10.0,3106126336.0,1399203198.0
24003702100,24510220100,10.0,3106126336.0,49456207.0
24003702100,24510240400,10.0,3106126336.0,11528592710.0
24003702100,24510250205,15.0,3106126336.0,49483456.0
24003702204,24003701101,10.0,102579191.0,102589569.0
24003702204,24003701400,25.0,102579191.0,102580038.0
